"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"1123","8.454122","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","422","0.000000000","QoS Data, SN=1406, FN=0, Flags=.p....F.C","0.000000000"
"1127","8.454578","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","262","0.000456000","QoS Data, SN=1407, FN=0, Flags=.p....F.C","0.000000000"
"1131","8.454856","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","310","0.000278000","QoS Data, SN=1408, FN=0, Flags=.p....F.C","0.000000000"
"1713","11.837038","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","158","3.382182000","QoS Data, SN=1409, FN=0, Flags=.p....F.C","0.000000000"
"1716","11.837340","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","158","0.000302000","QoS Data, SN=1409, FN=0, Flags=.p..R.F.C","0.000000000"
"1752","11.914534","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.077194000","QoS Data, SN=1410, FN=0, Flags=.p....F.C","0.000000000"
"1760","11.922133","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.007599000","QoS Data, SN=1411, FN=0, Flags=.p....F.C","0.000000000"
"1764","11.922469","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.000336000","QoS Data, SN=1412, FN=0, Flags=.p....F.C","0.000000000"
"1768","11.922972","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","467","0.000503000","QoS Data, SN=1413, FN=0, Flags=.p....F.C","0.000000000"
"1821","12.114210","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","158","0.191238000","QoS Data, SN=1414, FN=0, Flags=.p....F.C","0.000000000"
"1829","12.120663","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","730","0.006453000","QoS Data, SN=1415, FN=0, Flags=.p....F.C","0.000000000"
"1841","12.123559","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","181","0.002896000","QoS Data, SN=1416, FN=0, Flags=.p....F.C","0.000000000"
"1853","12.128495","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.004936000","QoS Data, SN=1417, FN=0, Flags=.p....F.C","0.000000000"
"1857","12.132964","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.004469000","QoS Data, SN=1418, FN=0, Flags=.p....F.C","0.000000000"
"1861","12.141851","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1050","0.008887000","QoS Data, SN=1419, FN=0, Flags=.p....F.C","0.000000000"
"1865","12.142150","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","700","0.000299000","QoS Data, SN=1420, FN=0, Flags=.p....F.C","0.000000000"
"1869","12.142441","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","387","0.000291000","QoS Data, SN=1421, FN=0, Flags=.p....F.C","0.000000000"
"1873","12.142685","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","189","0.000244000","QoS Data, SN=1422, FN=0, Flags=.p....F.C","0.000000000"
"1885","12.165827","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.023142000","QoS Data, SN=1423, FN=0, Flags=.p....F.C","0.000000000"
"1893","12.167892","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.002065000","QoS Data, SN=1424, FN=0, Flags=.p....F.C","0.000000000"
"1897","12.173119","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.005227000","QoS Data, SN=1425, FN=0, Flags=.p....F.C","0.000000000"
"1901","12.173429","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.000310000","QoS Data, SN=1426, FN=0, Flags=.p....F.C","0.000000000"
"1905","12.173746","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","469","0.000317000","QoS Data, SN=1427, FN=0, Flags=.p....F.C","0.000000000"
"1945","12.205806","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.032060000","QoS Data, SN=1428, FN=0, Flags=.p....F.C","0.000000000"
"1961","12.288508","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","730","0.082702000","QoS Data, SN=1429, FN=0, Flags=.p....F.C","0.000000000"
"1977","12.327827","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1476","0.039319000","QoS Data, SN=1430, FN=0, Flags=.p....F.C","0.000000000"
"1981","12.328111","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1476","0.000284000","QoS Data, SN=1431, FN=0, Flags=.p....F.C","0.000000000"
"1989","12.337963","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.009852000","QoS Data, SN=1432, FN=0, Flags=.p....F.C","0.000000000"
"1993","12.338253","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.000290000","QoS Data, SN=1433, FN=0, Flags=.p....F.C","0.000000000"
"2001","12.352583","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","684","0.014330000","QoS Data, SN=1434, FN=0, Flags=.p....F.C","0.000000000"
"2005","12.352860","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","411","0.000277000","QoS Data, SN=1435, FN=0, Flags=.p....F.C","0.000000000"
"2009","12.353111","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","363","0.000251000","QoS Data, SN=1436, FN=0, Flags=.p....F.C","0.000000000"
"2013","12.353798","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","189","0.000687000","QoS Data, SN=1437, FN=0, Flags=.p....F.C","0.000000000"
"2025","12.390731","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1476","0.036933000","QoS Data, SN=1438, FN=0, Flags=.p....F.C","0.000000000"
"2033","12.407012","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.016281000","QoS Data, SN=1439, FN=0, Flags=.p....F.C","0.000000000"
"14937","17.011899","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","287","4.604887000","QoS Data, SN=1440, FN=0, Flags=.p....F.C","0.000000000"
"14957","17.042424","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","158","0.030525000","QoS Data, SN=1441, FN=0, Flags=.p....F.C","0.000000000"
"14969","17.067508","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.025084000","QoS Data, SN=1442, FN=0, Flags=.p....F.C","0.000000000"
"14973","17.073075","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.005567000","QoS Data, SN=1443, FN=0, Flags=.p....F.C","0.000000000"
"14977","17.073388","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.000313000","QoS Data, SN=1444, FN=0, Flags=.p....F.C","0.000000000"
"14985","17.074024","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","473","0.000636000","QoS Data, SN=1445, FN=0, Flags=.p....F.C","0.000000000"
"15013","17.187492","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","424","0.113468000","QoS Data, SN=1446, FN=0, Flags=.p....F.C","0.000000000"
"15043","17.245856","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.058364000","QoS Data, SN=1447, FN=0, Flags=.p....F.C","0.000000000"
"15059","17.338860","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1341","0.093004000","QoS Data, SN=1448, FN=0, Flags=.p....F.C","0.000000000"
"15071","17.364461","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.025601000","QoS Data, SN=1449, FN=0, Flags=.p....F.C","0.000000000"
"15079","17.485440","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1240","0.120979000","QoS Data, SN=1450, FN=0, Flags=.p....F.C","0.000000000"
"15260","19.414371","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","158","1.928931000","QoS Data, SN=1451, FN=0, Flags=.p....F.C","0.000000000"
"15272","19.458904","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.044533000","QoS Data, SN=1452, FN=0, Flags=.p....F.C","0.000000000"
"15276","19.466105","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.007201000","QoS Data, SN=1453, FN=0, Flags=.p....F.C","0.000000000"
"15279","19.466361","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1532","0.000256000","QoS Data, SN=1453, FN=0, Flags=.p..R.F.C","0.000000000"
"15280","19.466457","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1524","0.000096000","QoS Data, SN=1454, FN=0, Flags=.p..R.F.C","0.000000000"
"15284","19.466800","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","467","0.000343000","QoS Data, SN=1455, FN=0, Flags=.p....F.C","0.000000000"
"15328","19.544035","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","730","0.077235000","QoS Data, SN=1456, FN=0, Flags=.p....F.C","0.000000000"
"15332","19.544708","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","181","0.000673000","QoS Data, SN=1457, FN=0, Flags=.p....F.C","0.000000000"
"15340","19.545780","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.001072000","QoS Data, SN=1458, FN=0, Flags=.p....F.C","0.000000000"
"15344","19.562097","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","490","0.016317000","QoS Data, SN=1459, FN=0, Flags=.p....F.C","0.000000000"
"15348","19.562404","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","613","0.000307000","QoS Data, SN=1460, FN=0, Flags=.p....F.C","0.000000000"
"15356","19.562873","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","279","0.000469000","QoS Data, SN=1461, FN=0, Flags=.p....F.C","0.000000000"
"15364","19.563448","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","189","0.000575000","QoS Data, SN=1462, FN=0, Flags=.p....F.C","0.000000000"
"15380","19.592410","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.028962000","QoS Data, SN=1463, FN=0, Flags=.p....F.C","0.000000000"
"15388","19.610547","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.018137000","QoS Data, SN=1464, FN=0, Flags=.p....F.C","0.000000000"
"15404","19.699259","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","158","0.088712000","QoS Data, SN=1465, FN=0, Flags=.p....F.C","0.000000000"
"15420","19.740727","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.041468000","QoS Data, SN=1466, FN=0, Flags=.p....F.C","0.000000000"
"15424","19.741038","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","362","0.000311000","QoS Data, SN=1467, FN=0, Flags=.p....F.C","0.000000000"
"15436","19.783182","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","730","0.042144000","QoS Data, SN=1468, FN=0, Flags=.p....F.C","0.000000000"
"15596","21.245948","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","481","1.462766000","QoS Data, SN=1469, FN=0, Flags=.p....F.C","0.000000000"
"15604","21.268727","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","158","0.022779000","QoS Data, SN=1470, FN=0, Flags=.p....F.C","0.000000000"
"15616","21.290023","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.021296000","QoS Data, SN=1471, FN=0, Flags=.p....F.C","0.000000000"
"15620","21.315627","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","802","0.025604000","QoS Data, SN=1472, FN=0, Flags=.p....F.C","0.000000000"
"15623","21.315888","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","802","0.000261000","QoS Data, SN=1472, FN=0, Flags=.p..R.F.C","0.000000000"
"15758","22.562109","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","1.246221000","QoS Data, SN=1473, FN=0, Flags=.p....F.C","0.000000000"
"15766","22.564614","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","0.002505000","QoS Data, SN=1474, FN=0, Flags=.p....F.C","0.000000000"
"15774","22.566655","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","0.002041000","QoS Data, SN=1475, FN=0, Flags=.p....F.C","0.000000000"
"15786","22.571715","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","0.005060000","QoS Data, SN=1476, FN=0, Flags=.p....F.C","0.000000000"
"15794","22.575557","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","0.003842000","QoS Data, SN=1477, FN=0, Flags=.p....F.C","0.000000000"
"15810","22.584035","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","0.008478000","QoS Data, SN=1478, FN=0, Flags=.p....F.C","0.000000000"
"15818","22.598100","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","0.014065000","QoS Data, SN=1479, FN=0, Flags=.p....F.C","0.000000000"
"15826","22.602890","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","169","0.004790000","QoS Data, SN=1480, FN=0, Flags=.p....F.C","0.000000000"
