"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"2855","4.815950","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","422","0.000000000","QoS Data, SN=233, FN=0, Flags=.p....F.C","0.000000000"
"2859","4.816222","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","262","0.000272000","QoS Data, SN=234, FN=0, Flags=.p....F.C","0.000000000"
"2863","4.816805","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","310","0.000583000","QoS Data, SN=235, FN=0, Flags=.p....F.C","0.000000000"
"3766","7.784847","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","189","2.968042000","QoS Data, SN=236, FN=0, Flags=.p....F.C","0.000000000"
"3770","7.785152","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.000305000","QoS Data, SN=237, FN=0, Flags=.p....F.C","0.000000000"
"3782","7.793238","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.008086000","QoS Data, SN=238, FN=0, Flags=.p....F.C","0.000000000"
"3790","7.810642","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","144","0.017404000","QoS Data, SN=239, FN=0, Flags=.p....F.C","0.000000000"
"3794","7.810939","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","144","0.000297000","QoS Data, SN=240, FN=0, Flags=.p....F.C","0.000000000"
"3798","7.817306","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","144","0.006367000","QoS Data, SN=241, FN=0, Flags=.p....F.C","0.000000000"
"4396","9.757193","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","144","1.939887000","QoS Data, SN=242, FN=0, Flags=.p....F.C","0.000000000"
"4997","11.489037","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","1.731844000","QoS Data, SN=232, FN=0, Flags=.p....F.C","0.000000000"
"5002","11.515706","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","181","0.026669000","QoS Data, SN=233, FN=0, Flags=.p....F.C","0.000000000"
"23173","29.391323","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","161","17.875617000","QoS Data, SN=243, FN=0, Flags=.p....F.C","0.000000000"
"25100","34.514492","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","144","5.123169000","QoS Data, SN=244, FN=0, Flags=.p....F.C","0.000000000"
