"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"112","0.380366","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000000000","QoS Data, SN=2008, FN=0, Flags=.p....F.C","0.000000000"
"115","0.380549","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000183000","QoS Data, SN=2008, FN=0, Flags=.p..R.F.C","0.000000000"
"236","0.598377","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","185","0.217828000","QoS Data, SN=2009, FN=0, Flags=.p....F.C","0.000000000"
"384","0.901339","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","162","0.302962000","QoS Data, SN=2010, FN=0, Flags=.p....F.C","0.000000000"
"387","0.901532","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","162","0.000193000","QoS Data, SN=2010, FN=0, Flags=.p..R.F.C","0.000000000"
"9650","19.743806","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","142","18.842274000","QoS Data, SN=2011, FN=0, Flags=.p....F.C","0.000000000"
"9653","19.744196","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","142","0.000390000","QoS Data, SN=2011, FN=0, Flags=.p..R.F.C","0.000000000"
"9656","19.745115","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","142","0.000919000","QoS Data, SN=2011, FN=0, Flags=.p..R.F.C","0.000000000"
"9659","19.745377","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","142","0.000262000","QoS Data, SN=2011, FN=0, Flags=.p..R.F.C","0.000000000"
"10330","20.995948","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","217","1.250571000","QoS Data, SN=139, FN=0, Flags=.pm...F.C","0.000000000"
"10332","20.996099","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000151000","QoS Data, SN=140, FN=0, Flags=.pm...F.C","0.000000000"
"10334","20.996275","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000176000","QoS Data, SN=141, FN=0, Flags=.p....F.C","0.000000000"
"10339","20.997322","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.001047000","QoS Data, SN=141, FN=0, Flags=.p..R.F.C","0.000000000"
"10371","21.100492","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.103170000","QoS Data, SN=142, FN=0, Flags=.p....F.C","0.000000000"
"10373","21.100738","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.000246000","QoS Data, SN=2012, FN=0, Flags=.p....F.C","0.000000000"
"17555","41.997338","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","20.896600000","QoS Data, SN=2013, FN=0, Flags=.pm...F.C","0.000000000"
"17557","41.997509","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","185","0.000171000","QoS Data, SN=2014, FN=0, Flags=.p....F.C","0.000000000"
"33404","59.779989","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","162","17.782480000","QoS Data, SN=2015, FN=0, Flags=.p....F.C","0.000000000"
"33416","59.811376","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.031387000","QoS Data, SN=2016, FN=0, Flags=.p....F.C","0.000000000"
"33418","59.812687","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","1528","0.001311000","QoS Data, SN=2017, FN=0, Flags=.p....F.C","0.000000000"
"33420","59.812901","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","1528","0.000214000","QoS Data, SN=2018, FN=0, Flags=.p....F.C","0.000000000"
"33423","59.813927","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","1528","0.001026000","QoS Data, SN=2018, FN=0, Flags=.p..R.F.C","0.000000000"
"33427","59.814287","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","292","0.000360000","QoS Data, SN=2019, FN=0, Flags=.p....F.C","0.000000000"
"33436","59.830955","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","209","0.016668000","QoS Data, SN=2020, FN=0, Flags=.p....F.C","0.000000000"
"33440","59.845384","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","446","0.014429000","QoS Data, SN=2021, FN=0, Flags=.p....F.C","0.000000000"
"33442","59.845557","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","223","0.000173000","QoS Data, SN=2022, FN=0, Flags=.p....F.C","0.000000000"
"33446","59.847308","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","192","0.001751000","QoS Data, SN=2023, FN=0, Flags=.p....F.C","0.000000000"
"33450","59.852877","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.005569000","QoS Data, SN=2024, FN=0, Flags=.p....F.C","0.000000000"
"33452","59.866733","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.013856000","QoS Data, SN=2025, FN=0, Flags=.p....F.C","0.000000000"
"33461","59.882349","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.015616000","QoS Data, SN=2026, FN=0, Flags=.p..R.F.C","0.000000000"
"33466","59.883141","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000792000","QoS Data, SN=2026, FN=0, Flags=.p..R.F.C","0.000000000"
"33470","59.884123","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","209","0.000982000","QoS Data, SN=2027, FN=0, Flags=.p....F.C","0.000000000"
