"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"8475","22.274449","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","206","0.000000000","QoS Data, SN=7, FN=0, Flags=.p....F.C","0.000000000"
"12631","22.710538","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","203","0.436089000","QoS Data, SN=32, FN=0, Flags=.p....F.C","0.000000000"
"12634","22.710799","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","203","0.000261000","QoS Data, SN=32, FN=0, Flags=.p..R.F.C","0.000000000"
"12637","22.710979","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","203","0.000180000","QoS Data, SN=32, FN=0, Flags=.p..R.F.C","0.000000000"
"12692","22.939919","88:42:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","226","0.228940000","QoS Data, SN=33, FN=0, Flags=.p....F.C","0.000000000"
"12695","22.940178","88:4a:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","226","0.000259000","QoS Data, SN=33, FN=0, Flags=.p..R.F.C","0.000000000"
"29342","45.877792","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","206","22.937614000","QoS Data, SN=8, FN=0, Flags=.p....F.C","0.000000000"
"29676","46.594052","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","203","0.716260000","QoS Data, SN=34, FN=0, Flags=.p....F.C","0.000000000"
"30372","48.394669","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","467","1.800617000","QoS Data, SN=35, FN=0, Flags=.p....F.C","0.000000000"
"30411","48.437419","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","481","0.042750000","QoS Data, SN=36, FN=0, Flags=.p....F.C","0.000000000"
"30415","48.439443","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","158","0.002024000","QoS Data, SN=37, FN=0, Flags=.p....F.C","0.000000000"
"30473","48.457078","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","158","0.017635000","QoS Data, SN=38, FN=0, Flags=.p....F.C","0.000000000"
"30485","48.474712","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","0.017634000","QoS Data, SN=39, FN=0, Flags=.p....F.C","0.000000000"
"30489","48.484414","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","0.009702000","QoS Data, SN=40, FN=0, Flags=.p....F.C","0.000000000"
"30493","48.491073","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","1524","0.006659000","QoS Data, SN=41, FN=0, Flags=.p....F.C","0.000000000"
"30497","48.491349","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","1524","0.000276000","QoS Data, SN=42, FN=0, Flags=.p....F.C","0.000000000"
"30501","48.491603","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","1524","0.000254000","QoS Data, SN=43, FN=0, Flags=.p....F.C","0.000000000"
"30505","48.492257","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","790","0.000654000","QoS Data, SN=44, FN=0, Flags=.p....F.C","0.000000000"
