"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"1599","7.156014","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","178","0.000000000","QoS Data, SN=1666, FN=0, Flags=.p....F.C","0.000000000"
"1636","7.255207","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.099193000","QoS Data, SN=1667, FN=0, Flags=.p....F.C","0.000000000"
"1645","7.279561","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","185","0.024354000","QoS Data, SN=1668, FN=0, Flags=.p....F.C","0.000000000"
"1649","7.295409","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.015848000","QoS Data, SN=1669, FN=0, Flags=.p....F.C","0.000000000"
"1734","7.585510","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","438","0.290101000","QoS Data, SN=1670, FN=0, Flags=.p....F.C","0.000000000"
"1776","7.665921","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","162","0.080411000","QoS Data, SN=1671, FN=0, Flags=.p....F.C","0.000000000"
"1787","7.736976","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.071055000","QoS Data, SN=1672, FN=0, Flags=.p....F.C","0.000000000"
"1840","7.825965","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.088989000","QoS Data, SN=1676, FN=0, Flags=.p....F.C","0.000000000"
"1844","7.830486","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.004521000","QoS Data, SN=1677, FN=0, Flags=.p....F.C","0.000000000"
"1846","7.830659","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000173000","QoS Data, SN=1678, FN=0, Flags=.p....F.C","0.000000000"
"1848","7.830803","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000144000","QoS Data, SN=1679, FN=0, Flags=.p....F.C","0.000000000"
"1863","7.882287","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.051484000","QoS Data, SN=1680, FN=0, Flags=.p....F.C","0.000000000"
"1890","7.902816","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","1369","0.020529000","QoS Data, SN=1681, FN=0, Flags=.p....F.C","0.000000000"
"1892","7.902990","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","181","0.000174000","QoS Data, SN=1682, FN=0, Flags=.p....F.C","0.000000000"
