"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"6351","13.234960","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","628","0.000000000","QoS Data, SN=2206, FN=0, Flags=.p....F.C","0.000000000"
"6354","13.235351","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","628","0.000391000","QoS Data, SN=2206, FN=0, Flags=.p..R.F.C","0.000000000"
"6436","13.461741","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.226390000","QoS Data, SN=2207, FN=0, Flags=.p....F.C","0.000000000"
"6439","13.461966","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.000225000","QoS Data, SN=2207, FN=0, Flags=.p..R.F.C","0.000000000"
"6569","13.690540","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","148","0.228574000","QoS Data, SN=2208, FN=0, Flags=.p....F.C","0.000000000"
"6571","13.691946","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","1528","0.001406000","QoS Data, SN=2209, FN=0, Flags=.p....F.C","0.000000000"
"6573","13.692116","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","1528","0.000170000","QoS Data, SN=2210, FN=0, Flags=.p....F.C","0.000000000"
"6576","13.692875","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","1528","0.000759000","QoS Data, SN=2210, FN=0, Flags=.p..R.F.C","0.000000000"
"6578","13.693050","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","452","0.000175000","QoS Data, SN=2211, FN=0, Flags=.p....F.C","0.000000000"
"6742","14.010989","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","400","0.317939000","QoS Data, SN=2212, FN=0, Flags=.pm...F.C","0.000000000"
"6744","14.011123","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","148","0.000134000","QoS Data, SN=2213, FN=0, Flags=.p....F.C","0.000000000"
"6918","14.246002","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","148","0.234879000","QoS Data, SN=2214, FN=0, Flags=.p....F.C","0.000000000"
"6921","14.246311","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","148","0.000309000","QoS Data, SN=2214, FN=0, Flags=.p..R.F.C","0.000000000"
"6934","14.295408","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","447","0.049097000","QoS Data, SN=2215, FN=0, Flags=.pm...F.C","0.000000000"
"6938","14.296110","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","447","0.000702000","QoS Data, SN=2215, FN=0, Flags=.pm.R.F.C","0.000000000"
"6946","14.296700","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","447","0.000590000","QoS Data, SN=2215, FN=0, Flags=.pm.R.F.C","0.000000000"
"6948","14.296859","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","176","0.000159000","QoS Data, SN=2216, FN=0, Flags=.p....F.C","0.000000000"
"10401","21.187346","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","165","6.890487000","QoS Data, SN=2217, FN=0, Flags=.p....F.C","0.000000000"
"10545","21.602040","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","165","0.414694000","QoS Data, SN=2218, FN=0, Flags=.p....F.C","0.000000000"
"10548","21.602313","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","165","0.000273000","QoS Data, SN=2218, FN=0, Flags=.p..R.F.C","0.000000000"
"10656","22.007087","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","165","0.404774000","QoS Data, SN=2219, FN=0, Flags=.p..R.F.C","0.000000000"
"10936","22.723244","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","165","0.716157000","QoS Data, SN=2220, FN=0, Flags=.p....F.C","0.000000000"
"10939","22.723462","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","165","0.000218000","QoS Data, SN=2220, FN=0, Flags=.p..R.F.C","0.000000000"
"11643","24.258725","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","165","1.535263000","QoS Data, SN=2221, FN=0, Flags=.p..R.F.C","0.000000000"
"13639","29.276884","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","173","5.018159000","QoS Data, SN=2222, FN=0, Flags=.pm...F.C","0.000000000"
