"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"4282","0.616439","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","203","0.000000000","QoS Data, SN=2555, FN=0, Flags=.p....F.C","0.000000000"
"8829","2.178014","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","205","1.561575000","QoS Data, SN=2556, FN=0, Flags=.p....F.C","0.000000000"
"10813","5.019818","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","161","2.841804000","QoS Data, SN=2557, FN=0, Flags=.p....F.C","0.000000000"
"18594","27.035609","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","22.015791000","QoS Data, SN=2558, FN=0, Flags=.p....F.C","0.000000000"
"19001","27.752433","88:42:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","226","0.716824000","QoS Data, SN=2559, FN=0, Flags=.p....F.C","0.000000000"
"32943","32.765918","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","5.013485000","QoS Data, SN=38, FN=0, Flags=.p....F.C","0.000000000"
"32951","32.791236","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","0.025318000","QoS Data, SN=39, FN=0, Flags=.p....F.C","0.000000000"
"32963","32.797090","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","0.005854000","QoS Data, SN=2560, FN=0, Flags=.p....F.C","0.000000000"
"33002","33.179876","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","203","0.382786000","QoS Data, SN=2561, FN=0, Flags=.p....F.C","0.000000000"
"33062","33.859503","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","403","0.679627000","QoS Data, SN=2562, FN=0, Flags=.p....F.C","0.000000000"
"33537","38.504346","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","203","4.644843000","QoS Data, SN=2563, FN=0, Flags=.p....F.C","0.000000000"
"33767","40.347953","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","962","1.843607000","QoS Data, SN=0, FN=0, Flags=.p....F.C","0.000000000"
"33783","40.466847","88:42:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","488","0.118894000","QoS Data, SN=1, FN=0, Flags=.p....F.C","0.000000000"
"33796","40.490579","88:42:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","488","0.023732000","QoS Data, SN=2, FN=0, Flags=.p....F.C","0.000000000"
"33802","40.527776","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","674","0.037197000","QoS Data, SN=3, FN=0, Flags=.p....F.C","0.000000000"
"34002","41.678858","88:42:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","345","1.151082000","QoS Data, SN=2564, FN=0, Flags=.p....F.C","0.000000000"
"34011","41.685564","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","315","0.006706000","QoS Data, SN=2565, FN=0, Flags=.p....F.C","0.000000000"
"34087","42.088486","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","0.402922000","QoS Data, SN=2566, FN=0, Flags=.p....F.C","0.000000000"
"34234","43.216422","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","962","1.127936000","QoS Data, SN=4, FN=0, Flags=.p....F.C","0.000000000"
"34253","43.251693","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","274","0.035271000","QoS Data, SN=5, FN=0, Flags=.p....F.C","0.000000000"
"34256","43.251960","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","274","0.000267000","QoS Data, SN=5, FN=0, Flags=.p..R.F.C","0.000000000"
"34259","43.252136","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","274","0.000176000","QoS Data, SN=5, FN=0, Flags=.p..R.F.C","0.000000000"
"34267","43.267073","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","274","0.014937000","QoS Data, SN=6, FN=0, Flags=.p....F.C","0.000000000"
"34284","43.319936","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","674","0.052863000","QoS Data, SN=7, FN=0, Flags=.p....F.C","0.000000000"
"34394","44.033963","88:42:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","293","0.714027000","QoS Data, SN=2567, FN=0, Flags=.p....F.C","0.000000000"
"34402","44.050145","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","251","0.016182000","QoS Data, SN=2568, FN=0, Flags=.p....F.C","0.000000000"
"34481","44.443690","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","150","0.393545000","QoS Data, SN=2569, FN=0, Flags=.p....F.C","0.000000000"
"34541","45.264505","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","144","0.820815000","QoS Data, SN=2570, FN=0, Flags=.p....F.C","0.000000000"
"34563","45.365096","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","962","0.100591000","QoS Data, SN=8, FN=0, Flags=.p....F.C","0.000000000"
"34578","45.399354","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","274","0.034258000","QoS Data, SN=9, FN=0, Flags=.p....F.C","0.000000000"
"34582","45.416901","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","274","0.017547000","QoS Data, SN=10, FN=0, Flags=.p....F.C","0.000000000"
"34588","45.460131","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","674","0.043230000","QoS Data, SN=11, FN=0, Flags=.p....F.C","0.000000000"
"34591","45.460387","Cisco_ac:81:e8","Apple_5b:02:e8","802.11","QoS Data","674","0.000256000","QoS Data, SN=11, FN=0, Flags=.p..R.F.C","0.000000000"
"34658","45.979562","88:42:30:00:ac:1f","Apple_5b:02:e8","802.11","QoS Data","293","0.519175000","QoS Data, SN=2571, FN=0, Flags=.p....F.C","0.000000000"
