"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"50","0.161958","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","162","0.000000000","QoS Data, SN=3661, FN=0, Flags=.p....F.C","0.000000000"
"71","0.193019","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.031061000","QoS Data, SN=3662, FN=0, Flags=.p....F.C","0.000000000"
"82","0.225305","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1528","0.032286000","QoS Data, SN=3663, FN=0, Flags=.p....F.C","0.000000000"
"84","0.225483","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1528","0.000178000","QoS Data, SN=3664, FN=0, Flags=.p....F.C","0.000000000"
"86","0.225669","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","462","0.000186000","QoS Data, SN=3665, FN=0, Flags=.p....F.C","0.000000000"
"116","0.284135","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.058466000","QoS Data, SN=3666, FN=0, Flags=.p....F.C","0.000000000"
"118","0.284347","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.000212000","QoS Data, SN=3667, FN=0, Flags=.p....F.C","0.000000000"
"140","0.342468","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","1225","0.058121000","QoS Data, SN=3669, FN=0, Flags=.p....F.C","0.000000000"
"142","0.342647","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","181","0.000179000","QoS Data, SN=3670, FN=0, Flags=.p....F.C","0.000000000"
"235","0.771627","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.428980000","QoS Data, SN=3671, FN=0, Flags=.p....F.C","0.000000000"
"237","0.771799","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.000172000","QoS Data, SN=3672, FN=0, Flags=.p....F.C","0.000000000"
"264","0.804763","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","162","0.032964000","QoS Data, SN=3673, FN=0, Flags=.p....F.C","0.000000000"
"273","0.812659","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","928","0.007896000","QoS Data, SN=3674, FN=0, Flags=.p....F.C","0.000000000"
"276","0.812851","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","928","0.000192000","QoS Data, SN=3674, FN=0, Flags=.p..R.F.C","0.000000000"
"278","0.813895","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","181","0.001044000","QoS Data, SN=3675, FN=0, Flags=.p....F.C","0.000000000"
"302","0.884411","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.070516000","QoS Data, SN=3676, FN=0, Flags=.p....F.C","0.000000000"
"304","0.885361","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","299","0.000950000","QoS Data, SN=3677, FN=0, Flags=.p....F.C","0.000000000"
"382","1.249182","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.363821000","QoS Data, SN=3678, FN=0, Flags=.p....F.C","0.000000000"
"384","1.272174","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","447","0.022992000","QoS Data, SN=3679, FN=0, Flags=.p....F.C","0.000000000"
"386","1.272348","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","985","0.000174000","QoS Data, SN=3680, FN=0, Flags=.p....F.C","0.000000000"
"897","3.172053","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","162","1.899705000","QoS Data, SN=3681, FN=0, Flags=.p....F.C","0.000000000"
"918","3.254900","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.082847000","QoS Data, SN=3682, FN=0, Flags=.p....F.C","0.000000000"
"920","3.255074","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","299","0.000174000","QoS Data, SN=3683, FN=0, Flags=.p....F.C","0.000000000"
"963","3.371903","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.116829000","QoS Data, SN=3684, FN=0, Flags=.p....F.C","0.000000000"
"975","3.445590","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.073687000","QoS Data, SN=3685, FN=0, Flags=.p....F.C","0.000000000"
"981","3.464629","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","605","0.019039000","QoS Data, SN=3686, FN=0, Flags=.p....F.C","0.000000000"
"983","3.464805","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","188","0.000176000","QoS Data, SN=3687, FN=0, Flags=.p....F.C","0.000000000"
"1099","4.024897","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.560092000","QoS Data, SN=3688, FN=0, Flags=.p....F.C","0.000000000"
"1101","4.025670","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.000773000","QoS Data, SN=3689, FN=0, Flags=.p....F.C","0.000000000"
"1103","4.025842","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.000172000","QoS Data, SN=3690, FN=0, Flags=.p....F.C","0.000000000"
"1105","4.026019","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","150","0.000177000","QoS Data, SN=3691, FN=0, Flags=.p....F.C","0.000000000"
"1106","4.026073","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.000054000","QoS Data, SN=3692, FN=0, Flags=.p....F.C","0.000000000"
"1113","4.082466","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","162","0.056393000","QoS Data, SN=3693, FN=0, Flags=.p....F.C","0.000000000"
"1126","4.105917","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","770","0.023451000","QoS Data, SN=3694, FN=0, Flags=.p....F.C","0.000000000"
"1128","4.106089","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","181","0.000172000","QoS Data, SN=3695, FN=0, Flags=.p....F.C","0.000000000"
"1138","4.157638","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.051549000","QoS Data, SN=3696, FN=0, Flags=.p....F.C","0.000000000"
"1140","4.157813","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","299","0.000175000","QoS Data, SN=3697, FN=0, Flags=.p....F.C","0.000000000"
"1181","4.271957","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.114144000","QoS Data, SN=3698, FN=0, Flags=.p....F.C","0.000000000"
"1210","4.338125","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.066168000","QoS Data, SN=3699, FN=0, Flags=.p....F.C","0.000000000"
"1214","4.357651","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","447","0.019526000","QoS Data, SN=3700, FN=0, Flags=.p....F.C","0.000000000"
"1216","4.357821","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","222","0.000170000","QoS Data, SN=3701, FN=0, Flags=.p....F.C","0.000000000"
"1218","4.358001","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","188","0.000180000","QoS Data, SN=3702, FN=0, Flags=.p....F.C","0.000000000"
"1369","4.490299","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","162","0.132298000","QoS Data, SN=3703, FN=0, Flags=.p....F.C","0.000000000"
"1387","4.555125","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","162","0.064826000","QoS Data, SN=3704, FN=0, Flags=.p....F.C","0.000000000"
"1391","4.555633","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","162","0.000508000","QoS Data, SN=3704, FN=0, Flags=.p..R.F.C","0.000000000"
"1401","4.573339","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.017706000","QoS Data, SN=3705, FN=0, Flags=.p....F.C","0.000000000"
"1417","4.605906","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.032567000","QoS Data, SN=3707, FN=0, Flags=.p....F.C","0.000000000"
"1419","4.606120","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","310","0.000214000","QoS Data, SN=3708, FN=0, Flags=.p....F.C","0.000000000"
