"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"1309","7.129751","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.000000000","QoS Data, SN=1685, FN=0, Flags=.p....F.C","0.000000000"
"1638","8.814426","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","1.684675000","QoS Data, SN=1686, FN=0, Flags=.p....F.C","0.000000000"
"2374","12.458257","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","3.643831000","QoS Data, SN=1687, FN=0, Flags=.p....F.C","0.000000000"
"2387","12.459910","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","422","0.001653000","QoS Data, SN=1688, FN=0, Flags=.p....F.C","0.000000000"
"2397","12.518290","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.058380000","QoS Data, SN=1689, FN=0, Flags=.p....F.C","0.000000000"
"2446","12.658739","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.140449000","QoS Data, SN=1690, FN=0, Flags=.pm...F.C","0.000000000"
"2448","12.659325","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.000586000","QoS Data, SN=1691, FN=0, Flags=.pm...F.C","0.000000000"
"2450","12.659496","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1524","0.000171000","QoS Data, SN=1692, FN=0, Flags=.pm...F.C","0.000000000"
"2451","12.659591","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","311","0.000095000","QoS Data, SN=1693, FN=0, Flags=.p....F.C","0.000000000"
"2495","12.750497","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.090906000","QoS Data, SN=1694, FN=0, Flags=.p....F.C","0.000000000"
"2587","13.173916","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.423419000","QoS Data, SN=1695, FN=0, Flags=.p....F.C","0.000000000"
"2628","13.245974","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.072058000","QoS Data, SN=1696, FN=0, Flags=.p....F.C","0.000000000"
"2652","13.375165","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.129191000","QoS Data, SN=1697, FN=0, Flags=.pm...F.C","0.000000000"
"2654","13.375364","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1114","0.000199000","QoS Data, SN=1698, FN=0, Flags=.p....F.C","0.000000000"
"2687","13.476139","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.100775000","QoS Data, SN=1699, FN=0, Flags=.pm...F.C","0.000000000"
"2689","13.476295","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000156000","QoS Data, SN=1700, FN=0, Flags=.p....F.C","0.000000000"
"2789","14.013326","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.537031000","QoS Data, SN=1701, FN=0, Flags=.p....F.C","0.000000000"
"2792","14.013576","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000250000","QoS Data, SN=1701, FN=0, Flags=.p..R.F.C","0.000000000"
"3010","15.322024","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","1.308448000","QoS Data, SN=1702, FN=0, Flags=.p....F.C","0.000000000"
"3143","16.052334","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","449","0.730310000","QoS Data, SN=1703, FN=0, Flags=.p....F.C","0.000000000"
"3237","16.494279","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.441945000","QoS Data, SN=1704, FN=0, Flags=.p....F.C","0.000000000"
"3239","16.494487","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.000208000","QoS Data, SN=1705, FN=0, Flags=.p....F.C","0.000000000"
"3261","16.549494","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.055007000","QoS Data, SN=1706, FN=0, Flags=.p....F.C","0.000000000"
"3330","16.797463","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.247969000","QoS Data, SN=1707, FN=0, Flags=.p....F.C","0.000000000"
"3332","16.806360","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.008897000","QoS Data, SN=1708, FN=0, Flags=.p....F.C","0.000000000"
"3334","16.827452","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.021092000","QoS Data, SN=1709, FN=0, Flags=.p....F.C","0.000000000"
"3336","16.827628","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000176000","QoS Data, SN=1710, FN=0, Flags=.p....F.C","0.000000000"
"3338","16.828916","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.001288000","QoS Data, SN=1711, FN=0, Flags=.p....F.C","0.000000000"
"3340","16.829111","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.000195000","QoS Data, SN=1712, FN=0, Flags=.p....F.C","0.000000000"
"3342","16.829322","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1524","0.000211000","QoS Data, SN=1713, FN=0, Flags=.p....F.C","0.000000000"
"3343","16.829477","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1524","0.000155000","QoS Data, SN=1714, FN=0, Flags=.p....F.C","0.000000000"
"3344","16.829531","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","404","0.000054000","QoS Data, SN=1715, FN=0, Flags=.p....F.C","0.000000000"
"3345","16.829614","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","408","0.000083000","QoS Data, SN=1716, FN=0, Flags=.p....F.C","0.000000000"
"3351","16.836985","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.007371000","QoS Data, SN=1717, FN=0, Flags=.p....F.C","0.000000000"
"3353","16.838405","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.001420000","QoS Data, SN=1718, FN=0, Flags=.p....F.C","0.000000000"
"3355","16.839137","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.000732000","QoS Data, SN=1719, FN=0, Flags=.p....F.C","0.000000000"
"3357","16.839313","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","408","0.000176000","QoS Data, SN=1720, FN=0, Flags=.p....F.C","0.000000000"
"3533","17.469463","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","408","0.630150000","QoS Data, SN=1721, FN=0, Flags=.p....F.C","0.000000000"
"3555","17.513626","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","166","0.044163000","QoS Data, SN=1722, FN=0, Flags=.p....F.C","0.000000000"
"3720","17.921739","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.408113000","QoS Data, SN=1723, FN=0, Flags=.p....F.C","0.000000000"
