"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"150","0.918946","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","0.000000000","QoS Data, SN=244, FN=0, Flags=.p....F.C","0.000000000"
"153","0.919169","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","0.000223000","QoS Data, SN=244, FN=0, Flags=.p..R.F.C","0.000000000"
"518","2.532973","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","1.613804000","QoS Data, SN=245, FN=0, Flags=.p....F.C","0.000000000"
"705","3.996652","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","1.463679000","QoS Data, SN=246, FN=0, Flags=.p....F.C","0.000000000"
"708","3.996905","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","0.000253000","QoS Data, SN=246, FN=0, Flags=.p..R.F.C","0.000000000"
"754","4.099910","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.103005000","QoS Data, SN=3503, FN=0, Flags=.p....F.C","0.000000000"
"757","4.100212","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.000302000","QoS Data, SN=3503, FN=0, Flags=.p..R.F.C","0.000000000"
"760","4.100416","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.000204000","QoS Data, SN=3503, FN=0, Flags=.p..R.F.C","0.000000000"
"813","4.364939","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","180","0.264523000","QoS Data, SN=3504, FN=0, Flags=.p....F.C","0.000000000"
"816","4.365128","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","180","0.000189000","QoS Data, SN=3504, FN=0, Flags=.p..R.F.C","0.000000000"
"1859","10.090356","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","5.725228000","QoS Data, SN=247, FN=0, Flags=.p....F.C","0.000000000"
"1862","10.091135","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","0.000779000","QoS Data, SN=247, FN=0, Flags=.p..R.F.C","0.000000000"
"2230","11.586698","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","1.495563000","QoS Data, SN=248, FN=0, Flags=.p....F.C","0.000000000"
"2572","13.089701","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","226","1.503003000","QoS Data, SN=249, FN=0, Flags=.p....F.C","0.000000000"
"3698","17.886100","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","4.796399000","QoS Data, SN=3505, FN=0, Flags=.p....F.C","0.000000000"
"3701","17.886358","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.000258000","QoS Data, SN=3505, FN=0, Flags=.p..R.F.C","0.000000000"
"5533","22.113431","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","4.227073000","QoS Data, SN=3506, FN=0, Flags=.p....F.C","0.000000000"
"5611","22.285267","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","180","0.171836000","QoS Data, SN=3507, FN=0, Flags=.p....F.C","0.000000000"
"9369","35.868681","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","154","13.583414000","QoS Data, SN=3508, FN=0, Flags=.p..R.F.C","0.000000000"
"9479","36.317173","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","154","0.448492000","QoS Data, SN=3509, FN=0, Flags=.p....F.C","0.000000000"
"9492","36.386133","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","154","0.068960000","QoS Data, SN=3510, FN=0, Flags=.p....F.C","0.000000000"
"9495","36.386411","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","154","0.000278000","QoS Data, SN=3510, FN=0, Flags=.p..R.F.C","0.000000000"
"9937","38.602711","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","154","2.216300000","QoS Data, SN=3511, FN=0, Flags=.p....F.C","0.000000000"
"9940","38.603043","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","154","0.000332000","QoS Data, SN=3511, FN=0, Flags=.p..R.F.C","0.000000000"
"10112","39.107082","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.504039000","QoS Data, SN=3512, FN=0, Flags=.p....F.C","0.000000000"
"10115","39.107338","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.000256000","QoS Data, SN=3512, FN=0, Flags=.p..R.F.C","0.000000000"
"10242","39.693009","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","180","0.585671000","QoS Data, SN=3513, FN=0, Flags=.p....F.C","0.000000000"
"15284","60.103008","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","20.409999000","QoS Data, SN=3514, FN=0, Flags=.p....F.C","0.000000000"
"15287","60.103339","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.000331000","QoS Data, SN=3514, FN=0, Flags=.p..R.F.C","0.000000000"
"15353","60.275791","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","180","0.172452000","QoS Data, SN=3515, FN=0, Flags=.p....F.C","0.000000000"
"15364","60.277026","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","180","0.001235000","QoS Data, SN=3515, FN=0, Flags=.p..R.F.C","0.000000000"
"15374","60.294083","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.017057000","QoS Data, SN=3516, FN=0, Flags=.p....F.C","0.000000000"
"15377","60.294419","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.000336000","QoS Data, SN=3516, FN=0, Flags=.p..R.F.C","0.000000000"
"15389","60.344205","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.049786000","QoS Data, SN=3517, FN=0, Flags=.p....F.C","0.000000000"
"15393","60.344705","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.000500000","QoS Data, SN=3517, FN=0, Flags=.p..R.F.C","0.000000000"
"15463","60.587907","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","175","0.243202000","QoS Data, SN=3518, FN=0, Flags=.pm...F.C","0.000000000"
"15466","60.588222","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","175","0.000315000","QoS Data, SN=3518, FN=0, Flags=.pm.R.F.C","0.000000000"
"15470","60.588510","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","175","0.000288000","QoS Data, SN=3519, FN=0, Flags=.p....F.C","0.000000000"
"15473","60.588713","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","175","0.000203000","QoS Data, SN=3519, FN=0, Flags=.p..R.F.C","0.000000000"
"15794","61.402338","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","177","0.813625000","QoS Data, SN=3520, FN=0, Flags=.p....F.C","0.000000000"
"16005","62.102727","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","531","0.700389000","QoS Data, SN=3521, FN=0, Flags=.pm...F.C","0.000000000"
"16008","62.103056","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","531","0.000329000","QoS Data, SN=3521, FN=0, Flags=.pm.R.F.C","0.000000000"
"16012","62.103353","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","802","0.000297000","QoS Data, SN=3522, FN=0, Flags=.p....F.C","0.000000000"
"16015","62.103605","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","802","0.000252000","QoS Data, SN=3522, FN=0, Flags=.p..R.F.C","0.000000000"
"16041","62.120014","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","148","0.016409000","QoS Data, SN=3523, FN=0, Flags=.p....F.C","0.000000000"
"16287","62.426168","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","203","0.306154000","QoS Data, SN=3524, FN=0, Flags=.pm...F.C","0.000000000"
"16290","62.426465","Cisco_ac:81:e8","IntelCor_b2:b3:17","802.11","QoS Data","203","0.000297000","QoS Data, SN=3524, FN=0, Flags=.pm.R.F.C","0.000000000"
