"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"2680","15.733016","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000000000","QoS Data, SN=3084, FN=0, Flags=.p....F.C","0.000000000"
"6840","45.224056","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","29.491040000","QoS Data, SN=3085, FN=0, Flags=.p....F.C","0.000000000"
"8346","57.919262","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","348","12.695206000","QoS Data, SN=3086, FN=0, Flags=.p....F.C","0.000000000"
"8363","57.981010","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.061748000","QoS Data, SN=3087, FN=0, Flags=.p....F.C","0.000000000"
"8375","58.037605","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.056595000","QoS Data, SN=3088, FN=0, Flags=.p....F.C","0.000000000"
"8377","58.037905","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.000300000","QoS Data, SN=3089, FN=0, Flags=.p....F.C","0.000000000"
"8379","58.038528","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1524","0.000623000","QoS Data, SN=3090, FN=0, Flags=.p....F.C","0.000000000"
"8380","58.038616","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","314","0.000088000","QoS Data, SN=3091, FN=0, Flags=.p....F.C","0.000000000"
"8406","58.149937","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.111321000","QoS Data, SN=3092, FN=0, Flags=.p....F.C","0.000000000"
"8429","58.203111","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.053174000","QoS Data, SN=3093, FN=0, Flags=.p....F.C","0.000000000"
"8432","58.203301","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000190000","QoS Data, SN=3093, FN=0, Flags=.p..R.F.C","0.000000000"
"8443","58.257230","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.053929000","QoS Data, SN=3094, FN=0, Flags=.pm...F.C","0.000000000"
"8445","58.257369","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1114","0.000139000","QoS Data, SN=3095, FN=0, Flags=.p....F.C","0.000000000"
"8448","58.258041","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1114","0.000672000","QoS Data, SN=3095, FN=0, Flags=.p..R.F.C","0.000000000"
"8496","58.363548","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.105507000","QoS Data, SN=3096, FN=0, Flags=.pm...F.C","0.000000000"
"8498","58.363684","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000136000","QoS Data, SN=3097, FN=0, Flags=.p....F.C","0.000000000"
"8557","58.658026","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.294342000","QoS Data, SN=3098, FN=0, Flags=.p....F.C","0.000000000"
"8658","59.362664","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","316","0.704638000","QoS Data, SN=3099, FN=0, Flags=.p....F.C","0.000000000"
