"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"34","0.106863","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","131","0.000000000","QoS Data, SN=66, FN=0, Flags=.p....F.C","0.000000000"
"5529","2.580137","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","403","2.473274000","QoS Data, SN=67, FN=0, Flags=.p....F.C","0.000000000"
"5601","2.770516","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","199","0.190379000","QoS Data, SN=69, FN=0, Flags=.p....F.C","0.000000000"
"6091","3.281406","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.510890000","QoS Data, SN=70, FN=0, Flags=.pm...F.C","0.000000000"
"6097","3.281885","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.000479000","QoS Data, SN=71, FN=0, Flags=.p....F.C","0.000000000"
"7486","5.534008","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","2.252123000","QoS Data, SN=72, FN=0, Flags=.p....F.C","0.000000000"
"7782","5.751962","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","367","0.217954000","QoS Data, SN=73, FN=0, Flags=.p....F.C","0.000000000"
"7784","5.752145","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","560","0.000183000","QoS Data, SN=74, FN=0, Flags=.p....F.C","0.000000000"
"7834","5.932577","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.180432000","QoS Data, SN=76, FN=0, Flags=.pm...F.C","0.000000000"
"7836","5.933146","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.000569000","QoS Data, SN=77, FN=0, Flags=.pm...F.C","0.000000000"
"7838","5.933341","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1524","0.000195000","QoS Data, SN=78, FN=0, Flags=.pm...F.C","0.000000000"
"7839","5.933914","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1498","0.000573000","QoS Data, SN=79, FN=0, Flags=.pm...F.C","0.000000000"
"7840","5.934034","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","585","0.000120000","QoS Data, SN=80, FN=0, Flags=.pm...F.C","0.000000000"
"7841","5.934130","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","150","0.000096000","QoS Data, SN=81, FN=0, Flags=.p....F.C","0.000000000"
"7842","5.934226","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","589","0.000096000","QoS Data, SN=82, FN=0, Flags=.p....F.C","0.000000000"
"7882","6.108808","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","205","0.174582000","QoS Data, SN=83, FN=0, Flags=.pm...F.C","0.000000000"
"7884","6.109012","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1472","0.000204000","QoS Data, SN=84, FN=0, Flags=.pm...F.C","0.000000000"
"7886","6.109829","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1468","0.000817000","QoS Data, SN=85, FN=0, Flags=.pm...F.C","0.000000000"
"7887","6.109946","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","784","0.000117000","QoS Data, SN=86, FN=0, Flags=.p....F.C","0.000000000"
"7944","6.150824","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","222","0.040878000","QoS Data, SN=87, FN=0, Flags=.p....F.C","0.000000000"
"7946","6.151946","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","192","0.001122000","QoS Data, SN=88, FN=0, Flags=.p....F.C","0.000000000"
"7954","6.152640","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000694000","QoS Data, SN=89, FN=0, Flags=.p....F.C","0.000000000"
"7956","6.152779","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","272","0.000139000","QoS Data, SN=90, FN=0, Flags=.p....F.C","0.000000000"
"7957","6.152833","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","192","0.000054000","QoS Data, SN=91, FN=0, Flags=.p....F.C","0.000000000"
"7970","6.277854","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.125021000","QoS Data, SN=92, FN=0, Flags=.p....F.C","0.000000000"
"7977","6.279122","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.001268000","QoS Data, SN=93, FN=0, Flags=.p....F.C","0.000000000"
"7999","6.286830","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","192","0.007708000","QoS Data, SN=94, FN=0, Flags=.p....F.C","0.000000000"
"8107","6.355343","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","132","0.068513000","QoS Data, SN=95, FN=0, Flags=.pm...F.C","0.000000000"
"8109","6.355547","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","131","0.000204000","QoS Data, SN=96, FN=0, Flags=.pm...F.C","0.000000000"
"8111","6.355659","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.000112000","QoS Data, SN=97, FN=0, Flags=.pm...F.C","0.000000000"
"8113","6.355856","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","131","0.000197000","QoS Data, SN=98, FN=0, Flags=.p....F.C","0.000000000"
"8141","6.394835","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","166","0.038979000","QoS Data, SN=99, FN=0, Flags=.p....F.C","0.000000000"
"8143","6.395541","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","143","0.000706000","QoS Data, SN=100, FN=0, Flags=.p....F.C","0.000000000"
"8438","7.071458","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","125","0.675917000","QoS Data, SN=101, FN=0, Flags=.pm...F.C","0.000000000"
"8440","7.071682","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","170","0.000224000","QoS Data, SN=102, FN=0, Flags=.p....F.C","0.000000000"
"8494","7.235938","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","125","0.164256000","QoS Data, SN=104, FN=0, Flags=.p..R.F.C","0.000000000"
"8511","7.286991","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1193","0.051053000","QoS Data, SN=105, FN=0, Flags=.p....F.C","0.000000000"
"8789","7.711230","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.424239000","QoS Data, SN=106, FN=0, Flags=.p..R.F.C","0.000000000"
"8883","7.861244","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.150014000","QoS Data, SN=107, FN=0, Flags=.p....F.C","0.000000000"
"8978","8.094165","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","199","0.232921000","QoS Data, SN=108, FN=0, Flags=.pm...F.C","0.000000000"
"8984","8.094601","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","199","0.000436000","QoS Data, SN=109, FN=0, Flags=.p....F.C","0.000000000"
"9034","8.306415","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.211814000","QoS Data, SN=110, FN=0, Flags=.p....F.C","0.000000000"
"9903","12.092639","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","3.786224000","QoS Data, SN=111, FN=0, Flags=.p....F.C","0.000000000"
"10261","13.930759","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","1.838120000","QoS Data, SN=112, FN=0, Flags=.pm...F.C","0.000000000"
"10324","14.209733","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.278974000","QoS Data, SN=114, FN=0, Flags=.p....F.C","0.000000000"
"11036","16.900752","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","2.691019000","QoS Data, SN=115, FN=0, Flags=.p....F.C","0.000000000"
"11059","17.003072","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.102320000","QoS Data, SN=116, FN=0, Flags=.p....F.C","0.000000000"
"11113","17.272025","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.268953000","QoS Data, SN=117, FN=0, Flags=.p....F.C","0.000000000"
"11116","17.272250","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000225000","QoS Data, SN=117, FN=0, Flags=.p..R.F.C","0.000000000"
"11147","17.417316","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.145066000","QoS Data, SN=118, FN=0, Flags=.p....F.C","0.000000000"
"11259","17.780318","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","586","0.363002000","QoS Data, SN=119, FN=0, Flags=.p....F.C","0.000000000"
"11332","18.129403","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.349085000","QoS Data, SN=120, FN=0, Flags=.p....F.C","0.000000000"
"11403","18.653473","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1472","0.524070000","QoS Data, SN=121, FN=0, Flags=.pm...F.C","0.000000000"
"11405","18.653672","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1472","0.000199000","QoS Data, SN=122, FN=0, Flags=.pm...F.C","0.000000000"
"11407","18.654135","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","784","0.000463000","QoS Data, SN=123, FN=0, Flags=.pm...F.C","0.000000000"
"11408","18.654258","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1472","0.000123000","QoS Data, SN=124, FN=0, Flags=.p....F.C","0.000000000"
"11480","18.845887","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.191629000","QoS Data, SN=125, FN=0, Flags=.p....F.C","0.000000000"
"11482","18.846089","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.000202000","QoS Data, SN=126, FN=0, Flags=.p....F.C","0.000000000"
"11551","19.081446","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.235357000","QoS Data, SN=127, FN=0, Flags=.p....F.C","0.000000000"
"11556","19.086750","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","144","0.005304000","QoS Data, SN=128, FN=0, Flags=.p....F.C","0.000000000"
"11557","19.086868","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","289","0.000118000","QoS Data, SN=129, FN=0, Flags=.p....F.C","0.000000000"
"11599","19.289977","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.203109000","QoS Data, SN=130, FN=0, Flags=.p....F.C","0.000000000"
"11668","19.562978","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.273001000","QoS Data, SN=131, FN=0, Flags=.p....F.C","0.000000000"
"11826","20.288620","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.725642000","QoS Data, SN=132, FN=0, Flags=.p....F.C","0.000000000"
"12053","21.214434","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.925814000","QoS Data, SN=133, FN=0, Flags=.p....F.C","0.000000000"
"12055","21.214606","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000172000","QoS Data, SN=134, FN=0, Flags=.p....F.C","0.000000000"
"12085","21.406271","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.191665000","QoS Data, SN=135, FN=0, Flags=.p....F.C","0.000000000"
"12466","23.044551","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","1.638280000","QoS Data, SN=136, FN=0, Flags=.p....F.C","0.000000000"
"12540","23.318300","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.273749000","QoS Data, SN=137, FN=0, Flags=.p....F.C","0.000000000"
"13189","26.730905","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","3.412605000","QoS Data, SN=138, FN=0, Flags=.p....F.C","0.000000000"
"14632","32.670545","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","329","5.939640000","QoS Data, SN=139, FN=0, Flags=.p....F.C","0.000000000"
"14708","33.045920","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.375375000","QoS Data, SN=141, FN=0, Flags=.p....F.C","0.000000000"
"15690","37.892660","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","4.846740000","QoS Data, SN=142, FN=0, Flags=.pm...F.C","0.000000000"
"15692","37.893060","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000400000","QoS Data, SN=143, FN=0, Flags=.p....F.C","0.000000000"
"16380","43.079874","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","5.186814000","QoS Data, SN=144, FN=0, Flags=.p....F.C","0.000000000"
"17861","52.785323","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","9.705449000","QoS Data, SN=145, FN=0, Flags=.p....F.C","0.000000000"
"17871","52.831512","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.046189000","QoS Data, SN=146, FN=0, Flags=.p....F.C","0.000000000"
"17892","52.945618","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.114106000","QoS Data, SN=147, FN=0, Flags=.p....F.C","0.000000000"
"18974","59.195138","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","383","6.249520000","QoS Data, SN=148, FN=0, Flags=.pm...F.C","0.000000000"
"18976","59.195332","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.000194000","QoS Data, SN=149, FN=0, Flags=.p....F.C","0.000000000"
"19059","59.725275","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.529943000","QoS Data, SN=150, FN=0, Flags=.p..R.F.C","0.000000000"
"19291","60.113738","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","383","0.388463000","QoS Data, SN=151, FN=0, Flags=.p....F.C","0.000000000"
"19429","60.728160","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.614422000","QoS Data, SN=152, FN=0, Flags=.p....F.C","0.000000000"
"19474","60.898527","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","316","0.170367000","QoS Data, SN=153, FN=0, Flags=.p....F.C","0.000000000"
"19501","60.964974","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.066447000","QoS Data, SN=154, FN=0, Flags=.p....F.C","0.000000000"
"19547","61.026918","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.061944000","QoS Data, SN=155, FN=0, Flags=.p....F.C","0.000000000"
"19618","61.192452","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","211","0.165534000","QoS Data, SN=156, FN=0, Flags=.p....F.C","0.000000000"
"19620","61.192659","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","200","0.000207000","QoS Data, SN=157, FN=0, Flags=.p....F.C","0.000000000"
"19655","61.240038","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","202","0.047379000","QoS Data, SN=158, FN=0, Flags=.p....F.C","0.000000000"
"19657","61.240187","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","347","0.000149000","QoS Data, SN=159, FN=0, Flags=.p....F.C","0.000000000"
"19660","61.240419","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","347","0.000232000","QoS Data, SN=159, FN=0, Flags=.p..R.F.C","0.000000000"
"19662","61.240561","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","186","0.000142000","QoS Data, SN=160, FN=0, Flags=.p....F.C","0.000000000"
"19679","61.247764","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.007203000","QoS Data, SN=161, FN=0, Flags=.p....F.C","0.000000000"
"20124","61.591356","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.343592000","QoS Data, SN=162, FN=0, Flags=.p....F.C","0.000000000"
"21317","62.471217","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1528","0.879861000","QoS Data, SN=163, FN=0, Flags=.pm...F.C","0.000000000"
"21319","62.471450","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","271","0.000233000","QoS Data, SN=164, FN=0, Flags=.pm...F.C","0.000000000"
"21321","62.471989","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1275","0.000539000","QoS Data, SN=165, FN=0, Flags=.pm...F.C","0.000000000"
"21322","62.472076","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","1279","0.000087000","QoS Data, SN=166, FN=0, Flags=.p....F.C","0.000000000"
"21391","62.602701","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.130625000","QoS Data, SN=167, FN=0, Flags=.p....F.C","0.000000000"
"21453","62.735734","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","199","0.133033000","QoS Data, SN=168, FN=0, Flags=.p....F.C","0.000000000"
"22161","63.274441","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.538707000","QoS Data, SN=169, FN=0, Flags=.p....F.C","0.000000000"
"22163","63.274613","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000172000","QoS Data, SN=170, FN=0, Flags=.p....F.C","0.000000000"
"24094","65.634706","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","2.360093000","QoS Data, SN=171, FN=0, Flags=.pm...F.C","0.000000000"
"24096","65.634906","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.000200000","QoS Data, SN=172, FN=0, Flags=.p....F.C","0.000000000"
"25110","66.879697","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","1.244791000","QoS Data, SN=173, FN=0, Flags=.p....F.C","0.000000000"
"25113","66.879871","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.000174000","QoS Data, SN=173, FN=0, Flags=.p..R.F.C","0.000000000"
"25493","67.231284","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.351413000","QoS Data, SN=174, FN=0, Flags=.p....F.C","0.000000000"
"25496","67.231563","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000279000","QoS Data, SN=174, FN=0, Flags=.p..R.F.C","0.000000000"
"25563","67.263306","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.031743000","QoS Data, SN=175, FN=0, Flags=.p....F.C","0.000000000"
"25566","67.263528","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000222000","QoS Data, SN=175, FN=0, Flags=.p..R.F.C","0.000000000"
"25614","67.292745","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.029217000","QoS Data, SN=176, FN=0, Flags=.pm...F.C","0.000000000"
"25617","67.293004","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000259000","QoS Data, SN=176, FN=0, Flags=.pm.R.F.C","0.000000000"
"25619","67.293150","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000146000","QoS Data, SN=177, FN=0, Flags=.p....F.C","0.000000000"
"25622","67.293421","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000271000","QoS Data, SN=177, FN=0, Flags=.p..R.F.C","0.000000000"
"25797","67.400491","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","211","0.107070000","QoS Data, SN=178, FN=0, Flags=.p....F.C","0.000000000"
"25803","67.404778","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","190","0.004287000","QoS Data, SN=179, FN=0, Flags=.p....F.C","0.000000000"
"25806","67.405003","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","190","0.000225000","QoS Data, SN=179, FN=0, Flags=.p..R.F.C","0.000000000"
"26158","67.731689","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.326686000","QoS Data, SN=180, FN=0, Flags=.p....F.C","0.000000000"
"26161","67.731912","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000223000","QoS Data, SN=180, FN=0, Flags=.p..R.F.C","0.000000000"
"26342","67.999998","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","193","0.268086000","QoS Data, SN=181, FN=0, Flags=.p....F.C","0.000000000"
