"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"1001","4.569501","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","628","0.000000000","QoS Data, SN=2561, FN=0, Flags=.p....F.C","0.000000000"
"1059","4.776605","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","131","0.207104000","QoS Data, SN=2562, FN=0, Flags=.p....F.C","0.000000000"
"1098","4.982243","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.205638000","QoS Data, SN=2563, FN=0, Flags=.p....F.C","0.000000000"
"1100","4.986009","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","1528","0.003766000","QoS Data, SN=2564, FN=0, Flags=.p....F.C","0.000000000"
"1102","4.986193","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","1528","0.000184000","QoS Data, SN=2565, FN=0, Flags=.p....F.C","0.000000000"
"1104","4.986776","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","452","0.000583000","QoS Data, SN=2566, FN=0, Flags=.p....F.C","0.000000000"
"1417","5.202463","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","400","0.215687000","QoS Data, SN=2567, FN=0, Flags=.p....F.C","0.000000000"
"1476","5.251245","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.048782000","QoS Data, SN=2568, FN=0, Flags=.p....F.C","0.000000000"
"2041","5.411946","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.160701000","QoS Data, SN=2569, FN=0, Flags=.p....F.C","0.000000000"
"2079","5.422050","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","446","0.010104000","QoS Data, SN=2570, FN=0, Flags=.p....F.C","0.000000000"
"2081","5.422187","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","176","0.000137000","QoS Data, SN=2571, FN=0, Flags=.p....F.C","0.000000000"
"10260","9.367219","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","3.945032000","QoS Data, SN=2572, FN=0, Flags=.p....F.C","0.000000000"
"10266","9.385414","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.018195000","QoS Data, SN=2573, FN=0, Flags=.p....F.C","0.000000000"
"13169","15.979803","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","6.594389000","QoS Data, SN=2574, FN=0, Flags=.p....F.C","0.000000000"
"13173","16.002043","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.022240000","QoS Data, SN=2575, FN=0, Flags=.p....F.C","0.000000000"
"13198","16.122128","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","192","0.120085000","QoS Data, SN=2576, FN=0, Flags=.p....F.C","0.000000000"
"13202","16.123825","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","193","0.001697000","QoS Data, SN=2577, FN=0, Flags=.p....F.C","0.000000000"
"15023","20.495107","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","169","4.371282000","QoS Data, SN=2578, FN=0, Flags=.pm...F.C","0.000000000"
"15024","20.495221","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","148","0.000114000","QoS Data, SN=2579, FN=0, Flags=.p....F.C","0.000000000"
"21542","30.416260","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","9.921039000","QoS Data, SN=2580, FN=0, Flags=.p....F.C","0.000000000"
"21544","30.416769","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000509000","QoS Data, SN=2581, FN=0, Flags=.p....F.C","0.000000000"
"21569","30.570461","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","236","0.153692000","QoS Data, SN=2582, FN=0, Flags=.p....F.C","0.000000000"
"21571","30.572208","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","461","0.001747000","QoS Data, SN=2583, FN=0, Flags=.p....F.C","0.000000000"
"21573","30.572409","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","265","0.000201000","QoS Data, SN=2584, FN=0, Flags=.p....F.C","0.000000000"
"21575","30.572518","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","200","0.000109000","QoS Data, SN=2585, FN=0, Flags=.p....F.C","0.000000000"
"21581","30.589260","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.016742000","QoS Data, SN=2586, FN=0, Flags=.p....F.C","0.000000000"
"28423","45.540829","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","14.951569000","QoS Data, SN=2587, FN=0, Flags=.p....F.C","0.000000000"
"28452","45.743607","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.202778000","QoS Data, SN=2588, FN=0, Flags=.pm...F.C","0.000000000"
"28454","45.743781","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","222","0.000174000","QoS Data, SN=2589, FN=0, Flags=.p....F.C","0.000000000"
"29057","46.741787","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","215","0.998006000","QoS Data, SN=2590, FN=0, Flags=.p....F.C","0.000000000"
"29069","46.767482","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.025695000","QoS Data, SN=2591, FN=0, Flags=.p....F.C","0.000000000"
"29661","46.950736","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.183254000","QoS Data, SN=2592, FN=0, Flags=.p....F.C","0.000000000"
"32198","48.020122","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","1.069386000","QoS Data, SN=2593, FN=0, Flags=.p....F.C","0.000000000"
"32206","48.046625","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.026503000","QoS Data, SN=2594, FN=0, Flags=.p....F.C","0.000000000"
"32361","48.160042","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","222","0.113417000","QoS Data, SN=2595, FN=0, Flags=.p....F.C","0.000000000"
"32627","49.567311","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","217","1.407269000","QoS Data, SN=2596, FN=0, Flags=.p....F.C","0.000000000"
"32633","49.594347","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.027036000","QoS Data, SN=2597, FN=0, Flags=.p....F.C","0.000000000"
"32636","49.594572","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000225000","QoS Data, SN=2597, FN=0, Flags=.p..R.F.C","0.000000000"
"32644","49.613322","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.018750000","QoS Data, SN=2598, FN=0, Flags=.p....F.C","0.000000000"
"33161","52.537047","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","2.923725000","QoS Data, SN=2599, FN=0, Flags=.p....F.C","0.000000000"
"33164","52.537319","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000272000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33167","52.538082","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000763000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33170","52.538696","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000614000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33173","52.539333","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000637000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33176","52.539987","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000654000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33179","52.540642","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000655000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33182","52.540873","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000231000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33185","52.541267","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000394000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"33188","52.541523","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","188","0.000256000","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","0.000000000"
"36278","61.647857","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","9.106334000","QoS Data, SN=2600, FN=0, Flags=.p....F.C","0.000000000"
"36281","61.648124","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.000267000","QoS Data, SN=2600, FN=0, Flags=.p..R.F.C","0.000000000"
"36293","61.667057","Cisco_ac:81:e8","XiaomiCo_b8:b6:e6","802.11","QoS Data","154","0.018933000","QoS Data, SN=2601, FN=0, Flags=.p....F.C","0.000000000"
