"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"6323","16.944799","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000000000","QoS Data, SN=3001, FN=0, Flags=.p....F.C","0.000000000"
"10364","43.465729","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","200","26.520930000","QoS Data, SN=3002, FN=0, Flags=.pm...F.C","0.000000000"
"10367","43.465975","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","200","0.000246000","QoS Data, SN=3002, FN=0, Flags=.pm.R.F.C","0.000000000"
"10369","43.466156","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","185","0.000181000","QoS Data, SN=3003, FN=0, Flags=.p....F.C","0.000000000"
"10372","43.466417","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","185","0.000261000","QoS Data, SN=3003, FN=0, Flags=.p..R.F.C","0.000000000"
"10431","43.538310","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.071893000","QoS Data, SN=3004, FN=0, Flags=.p....F.C","0.000000000"
"10434","43.538533","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.000223000","QoS Data, SN=3004, FN=0, Flags=.p..R.F.C","0.000000000"
"10436","43.540702","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.002169000","QoS Data, SN=3005, FN=0, Flags=.p....F.C","0.000000000"
"10440","43.542540","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","148","0.001838000","QoS Data, SN=3006, FN=0, Flags=.p..R.F.C","0.000000000"
"13928","61.693077","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","335","18.150537000","QoS Data, SN=3007, FN=0, Flags=.pm...F.C","0.000000000"
"13931","61.693296","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","335","0.000219000","QoS Data, SN=3007, FN=0, Flags=.pm.R.F.C","0.000000000"
"13933","61.693397","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.000101000","QoS Data, SN=3008, FN=0, Flags=.p....F.C","0.000000000"
"13936","61.693599","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","207","0.000202000","QoS Data, SN=3008, FN=0, Flags=.p..R.F.C","0.000000000"
"14090","62.057448","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","426","0.363849000","QoS Data, SN=3009, FN=0, Flags=.p....F.C","0.000000000"
"14093","62.057718","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","426","0.000270000","QoS Data, SN=3009, FN=0, Flags=.p..R.F.C","0.000000000"
"14095","62.057881","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","316","0.000163000","QoS Data, SN=3010, FN=0, Flags=.p....F.C","0.000000000"
"14098","62.058261","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","316","0.000380000","QoS Data, SN=3010, FN=0, Flags=.p..R.F.C","0.000000000"
"14122","62.204982","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.146721000","QoS Data, SN=3011, FN=0, Flags=.p....F.C","0.000000000"
"14321","63.125154","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.920172000","QoS Data, SN=3012, FN=0, Flags=.p....F.C","0.000000000"
"14324","63.125410","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","162","0.000256000","QoS Data, SN=3012, FN=0, Flags=.p..R.F.C","0.000000000"
"14350","63.169091","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.043681000","QoS Data, SN=3013, FN=0, Flags=.p....F.C","0.000000000"
"14353","63.169317","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","154","0.000226000","QoS Data, SN=3013, FN=0, Flags=.p..R.F.C","0.000000000"
"14407","63.433698","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","211","0.264381000","QoS Data, SN=3014, FN=0, Flags=.pm...F.C","0.000000000"
"14410","63.434105","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","211","0.000407000","QoS Data, SN=3014, FN=0, Flags=.pm.R.F.C","0.000000000"
"14412","63.434274","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","200","0.000169000","QoS Data, SN=3015, FN=0, Flags=.pm...F.C","0.000000000"
"14415","63.434482","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","200","0.000208000","QoS Data, SN=3015, FN=0, Flags=.pm.R.F.C","0.000000000"
"14417","63.434603","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","198","0.000121000","QoS Data, SN=3016, FN=0, Flags=.pm...F.C","0.000000000"
"14418","63.434819","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","368","0.000216000","QoS Data, SN=3017, FN=0, Flags=.pm...F.C","0.000000000"
"14419","63.434913","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","182","0.000094000","QoS Data, SN=3018, FN=0, Flags=.pm...F.C","0.000000000"
"14420","63.434968","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","186","0.000055000","QoS Data, SN=3019, FN=0, Flags=.p....F.C","0.000000000"
"14422","63.435134","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","198","0.000166000","QoS Data, SN=3016, FN=0, Flags=.pm.R.F.C","0.000000000"
"14423","63.435187","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","368","0.000053000","QoS Data, SN=3017, FN=0, Flags=.pm.R.F.C","0.000000000"
"14424","63.435241","Cisco_ac:81:e8","Apple_6e:03:01","802.11","QoS Data","186","0.000054000","QoS Data, SN=3018, FN=0, Flags=.pm...F.C","0.000000000"
