"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"369","1.666621","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","185","0.000000000","QoS Data, SN=1585, FN=0, Flags=.p....F.C","0.000000000"
"372","1.666846","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","185","0.000225000","QoS Data, SN=1585, FN=0, Flags=.p..R.F.C","0.000000000"
"374","1.667034","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.000188000","QoS Data, SN=1586, FN=0, Flags=.p....F.C","0.000000000"
"377","1.667251","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.000217000","QoS Data, SN=1586, FN=0, Flags=.p..R.F.C","0.000000000"
"1226","7.418207","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","166","5.750956000","QoS Data, SN=1587, FN=0, Flags=.p....F.C","0.000000000"
"1229","7.418454","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","166","0.000247000","QoS Data, SN=1587, FN=0, Flags=.p..R.F.C","0.000000000"
"1303","7.847272","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.428818000","QoS Data, SN=1588, FN=0, Flags=.p..R.F.C","0.000000000"
"1309","7.848051","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","446","0.000779000","QoS Data, SN=1589, FN=0, Flags=.p..R.F.C","0.000000000"
"2054","10.926163","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","446","3.078112000","QoS Data, SN=1590, FN=0, Flags=.p....F.C","0.000000000"
"2057","10.926352","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","446","0.000189000","QoS Data, SN=1590, FN=0, Flags=.p..R.F.C","0.000000000"
"3344","17.975040","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","191","7.048688000","QoS Data, SN=1591, FN=0, Flags=.p....F.C","0.000000000"
"3348","18.017339","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.042299000","QoS Data, SN=1592, FN=0, Flags=.p....F.C","0.000000000"
"3356","18.041634","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.024295000","QoS Data, SN=1593, FN=0, Flags=.p....F.C","0.000000000"
"4262","22.454922","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","441","4.413288000","QoS Data, SN=1594, FN=0, Flags=.p....F.C","0.000000000"
"4265","22.455185","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","441","0.000263000","QoS Data, SN=1594, FN=0, Flags=.p..R.F.C","0.000000000"
"4296","22.547389","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","162","0.092204000","QoS Data, SN=1595, FN=0, Flags=.p....F.C","0.000000000"
"4299","22.547638","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","162","0.000249000","QoS Data, SN=1595, FN=0, Flags=.p..R.F.C","0.000000000"
"4329","22.641231","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.093593000","QoS Data, SN=1596, FN=0, Flags=.pm...F.C","0.000000000"
"4332","22.642238","Cisco_ac:81:e8","XiaomiCo_5b:85:a7","802.11","QoS Data","154","0.001007000","QoS Data, SN=1596, FN=0, Flags=.pm.R.F.C","0.000000000"
