"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"668","2.505647","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","415","0.000000000","QoS Data, SN=2376, FN=0, Flags=.p..R.F.C","0.000000000"
"921","2.762354","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.256707000","QoS Data, SN=2377, FN=0, Flags=.p..R.F.C","0.000000000"
"953","2.916070","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.153716000","QoS Data, SN=2378, FN=0, Flags=.p....F.C","0.000000000"
"1369","5.577599","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","279","2.661529000","QoS Data, SN=2379, FN=0, Flags=.p....F.C","0.000000000"
"1426","5.739823","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.162224000","QoS Data, SN=2380, FN=0, Flags=.p....F.C","0.000000000"
"1460","5.898113","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.158290000","QoS Data, SN=2381, FN=0, Flags=.p....F.C","0.000000000"
"1627","6.806745","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","355","0.908632000","QoS Data, SN=2382, FN=0, Flags=.p....F.C","0.000000000"
"1630","6.807130","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","355","0.000385000","QoS Data, SN=2382, FN=0, Flags=.p..R.F.C","0.000000000"
"1663","6.943308","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","355","0.136178000","QoS Data, SN=2383, FN=0, Flags=.p..R.F.C","0.000000000"
"1666","6.981364","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.038056000","QoS Data, SN=2384, FN=0, Flags=.p....F.C","0.000000000"
"1702","7.135125","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.153761000","QoS Data, SN=2385, FN=0, Flags=.p....F.C","0.000000000"
"1705","7.135329","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","154","0.000204000","QoS Data, SN=2385, FN=0, Flags=.p..R.F.C","0.000000000"
"1736","7.282745","Cisco_ac:81:e8","SamsungE_34:84:42","802.11","QoS Data","284","0.147416000","QoS Data, SN=2386, FN=0, Flags=.p....F.C","0.000000000"
