"No.","Time","Source","Destination","Protocol","Type/Subtype","Length","Time delta from previous displayed frame","Info","Time shift for this packet"
"53487","59.340352","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","465","0.000000000","QoS Data, SN=74, FN=0, Flags=.p....F.C","0.000000000"
"53857","59.772846","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","154","0.432494000","QoS Data, SN=4026, FN=0, Flags=.p.....TC","0.000000000"
"53858","59.773013","5c:23:17:47:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","154","0.000167000","QoS Data, SN=4026, FN=0, Flags=.p..R..TC","0.000000000"
"53868","59.774256","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","154","0.001243000","QoS Data, SN=4026, FN=0, Flags=.p..R..TC","0.000000000"
"53869","59.774770","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","154","0.000514000","QoS Data, SN=4026, FN=0, Flags=.p..R..TC","0.000000000"
"53875","59.775314","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","154","0.000544000","QoS Data, SN=75, FN=0, Flags=.p....F.C","0.000000000"
"53900","59.787024","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.011710000","QoS Data, SN=4027, FN=0, Flags=.p.....TC","0.000000000"
"53901","59.787303","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000279000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53902","59.788083","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000780000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53905","59.788429","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000346000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53907","59.788632","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000203000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53908","59.789016","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000384000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53910","59.789404","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000388000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53911","59.789571","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000167000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53912","59.789830","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000259000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53914","59.790378","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000548000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
"53916","59.791273","SamsungE_4e:a4:ac","Tp-LinkT_87:47:6e","802.11","QoS Data","142","0.000895000","QoS Data, SN=4027, FN=0, Flags=.p..R..TC","0.000000000"
